energy,tempo,danceability,playlist_genre,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,playlist_subgenre,type,label_kaggle
0.592,157.969,0.521,pop,0.122,0.535,"Lady Gaga, Bruno Mars",3.0,0.0304,100,Die With A Smile,Today's Top Hits,Die With A Smile,2024-08-16,0.0,0.0,6.0,251668.0,mainstream,audio_features,1
0.507,104.978,0.747,pop,0.117,0.438,Billie Eilish,4.0,0.0358,97,HIT ME HARD AND SOFT,Today's Top Hits,BIRDS OF A FEATHER,2024-05-17,0.0608,1.0,2.0,210373.0,mainstream,audio_features,1
0.808,108.548,0.554,pop,0.159,0.372,Gracie Abrams,4.0,0.0368,93,The Secret of Us (Deluxe),Today's Top Hits,That’s So True,2024-10-18,0.0,1.0,1.0,166300.0,mainstream,audio_features,1
0.91,112.966,0.67,pop,0.304,0.786,Sabrina Carpenter,4.0,0.0634,81,Short n' Sweet,Today's Top Hits,Taste,2024-08-23,0.0,0.0,0.0,157280.0,mainstream,audio_features,1
0.783,149.027,0.777,pop,0.355,0.939,"ROSÉ, Bruno Mars",4.0,0.26,98,APT.,Today's Top Hits,APT.,2024-10-18,0.0,0.0,0.0,169917.0,mainstream,audio_features,1
0.582,116.712,0.7,pop,0.0881,0.785,Chappell Roan,4.0,0.0356,94,"Good Luck, Babe!",Today's Top Hits,"Good Luck, Babe!",2024-04-05,0.0,0.0,11.0,218424.0,mainstream,audio_features,1
0.561,150.069,0.669,pop,0.0954,0.841,Addison Rae,4.0,0.0411,88,Diet Pepsi,Today's Top Hits,Diet Pepsi,2024-08-09,0.00962,1.0,10.0,169698.0,mainstream,audio_features,1
0.247,148.101,0.467,pop,0.17,0.126,Billie Eilish,4.0,0.0431,93,HIT ME HARD AND SOFT,Today's Top Hits,WILDFLOWER,2024-05-17,0.000271,0.0,6.0,261467.0,mainstream,audio_features,1
0.416,94.926,0.492,pop,0.203,0.297,Gigi Perez,4.0,0.0254,71,Sailor Song,Today's Top Hits,Sailor Song,2024-07-26,8.61e-05,1.0,11.0,211979.0,mainstream,audio_features,1
0.722,119.973,0.769,pop,0.111,0.57,"The Weeknd, Playboi Carti",4.0,0.0507,92,Timeless,Today's Top Hits,Timeless (with Playboi Carti),2024-09-27,2.56e-06,0.0,11.0,256000.0,mainstream,audio_features,1
0.667,130.019,0.776,pop,0.0761,0.618,"Charli xcx, Billie Eilish",4.0,0.0983,85,Guess featuring Billie Eilish,Today's Top Hits,Guess featuring billie eilish,2024-08-01,0.3,1.0,7.0,145219.0,mainstream,audio_features,1
0.586,107.071,0.669,pop,0.104,0.579,Sabrina Carpenter,4.0,0.054,88,Please Please Please,Today's Top Hits,Please Please Please,2024-06-06,0.0,1.0,9.0,186365.0,mainstream,audio_features,1
0.806,104.032,0.608,pop,0.191,0.587,Tate McRae,4.0,0.0486,79,2 hands,Today's Top Hits,2 hands,2024-11-14,0.0,1.0,1.0,181821.0,mainstream,audio_features,1
0.709,81.012,0.722,pop,0.0804,0.604,Shaboozey,4.0,0.0273,86,A Bar Song (Tipsy),Today's Top Hits,A Bar Song (Tipsy),2024-04-12,0.0,1.0,9.0,171292.0,mainstream,audio_features,1
0.757,139.982,0.742,pop,0.305,0.957,Chappell Roan,4.0,0.0421,88,The Rise and Fall of a Midwest Princess,Today's Top Hits,HOT TO GO!,2023-09-22,0.0,1.0,6.0,184841.0,mainstream,audio_features,1
0.917,100.987,0.562,pop,0.488,0.501,Lady Gaga,4.0,0.117,86,Disease,Today's Top Hits,Disease,2024-10-25,0.0,0.0,11.0,229997.0,mainstream,audio_features,1
0.787,109.939,0.734,pop,0.312,0.672,LISA,4.0,0.116,82,Moonlit Floor (Kiss Me),Today's Top Hits,Moonlit Floor (Kiss Me),2024-10-08,0.0,0.0,5.0,155757.0,mainstream,audio_features,1
0.843,122.064,0.619,pop,0.164,0.746,Morgan Wallen,4.0,0.0284,86,Love Somebody,Today's Top Hits,Love Somebody,2024-10-18,0.000118,0.0,5.0,204829.0,mainstream,audio_features,1
0.406,115.94,0.53,pop,0.133,0.338,Gracie Abrams,3.0,0.033,90,The Secret of Us,Today's Top Hits,"I Love You, I'm Sorry",2024-06-21,0.0,1.0,10.0,157147.0,mainstream,audio_features,1
0.782,119.992,0.727,pop,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4.0,0.042,86,Move,Today's Top Hits,Move,2024-06-07,0.336,0.0,8.0,177599.0,mainstream,audio_features,1
0.812,80.09,0.505,pop,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4.0,0.461,88,CHROMAKOPIA,Today's Top Hits,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2024-10-28,0.0,1.0,1.0,255916.0,mainstream,audio_features,1
0.76,103.969,0.701,pop,0.185,0.69,Sabrina Carpenter,4.0,0.0285,90,Espresso,Today's Top Hits,Espresso,2024-04-12,6.54e-05,1.0,0.0,175459.0,mainstream,audio_features,1
0.725,116.988,0.894,pop,0.0815,0.838,JENNIE,4.0,0.0432,89,Mantra,Today's Top Hits,Mantra,2024-10-10,1.15e-05,0.0,10.0,136627.0,mainstream,audio_features,1
0.563,105.008,0.833,pop,0.139,0.343,"Rauw Alejandro, Bad Bunny",4.0,0.204,82,Cosa Nuestra,Today's Top Hits,Qué Pasaría...,2024-11-15,1.27e-05,0.0,4.0,182857.0,mainstream,audio_features,1
0.628,119.98,0.757,pop,0.221,0.321,Don Toliver,4.0,0.101,85,HARDSTONE PSYCHO,Today's Top Hits,NEW DROP,2024-06-14,0.0209,0.0,4.0,217333.0,mainstream,audio_features,1
0.855,127.986,0.638,pop,0.245,0.731,"Post Malone, Morgan Wallen",4.0,0.0264,84,I Had Some Help,Today's Top Hits,I Had Some Help (Feat. Morgan Wallen),2024-05-10,0.0,1.0,7.0,178206.0,mainstream,audio_features,1
0.62,117.038,0.741,pop,0.0398,0.934,Hozier,4.0,0.0412,77,Unheard,Today's Top Hits,Too Sweet,2024-03-22,0.000809,1.0,10.0,251424.0,mainstream,audio_features,1
0.339,97.989,0.705,pop,0.12,0.457,The Marías,4.0,0.0278,84,Submarine,Today's Top Hits,No One Noticed,2024-05-31,0.0814,1.0,7.0,236907.0,mainstream,audio_features,1
0.651,112.648,0.694,pop,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3.0,0.0784,93,Tu Boda,Today's Top Hits,Tu Boda,2024-09-26,1.36e-05,1.0,6.0,225881.0,mainstream,audio_features,1
0.601,123.994,0.635,pop,0.11,0.332,Myles Smith,4.0,0.0295,88,Stargazing,Today's Top Hits,Stargazing,2024-05-10,0.0,0.0,1.0,172533.0,mainstream,audio_features,1
0.691,167.029,0.836,pop,0.282,0.703,"GloRilla, Sexyy Red",4.0,0.363,70,WHATCHU KNO ABOUT ME (with Sexyy Red),Today's Top Hits,WHATCHU KNO ABOUT ME (with Sexyy Red),2024-10-10,0.0,1.0,1.0,149461.0,mainstream,audio_features,1
0.646,115.842,0.645,pop,0.074,0.295,Ariana Grande,4.0,0.0427,81,eternal sunshine,Today's Top Hits,we can't be friends (wait for your love),2024-03-08,3.04e-05,1.0,5.0,228639.0,mainstream,audio_features,1
0.471,105.029,0.472,pop,0.14,0.219,Benson Boone,3.0,0.0603,85,Beautiful Things,Today's Top Hits,Beautiful Things,2024-01-18,0.0,1.0,10.0,180304.0,mainstream,audio_features,1
0.709,194.055,0.744,pop,0.0847,0.712,"Myke Towers, benny blanco",4.0,0.284,84,LA PANTERA NEGRA (DELUXE),Today's Top Hits,DEGENERE 👑 (feat. benny blanco),2024-10-17,0.0,0.0,6.0,130880.0,mainstream,audio_features,1
0.904,167.033,0.739,pop,0.0948,0.788,KATSEYE,4.0,0.0442,85,Touch,Today's Top Hits,Touch,2024-07-26,1.03e-05,0.0,5.0,129883.0,mainstream,audio_features,1
0.604,159.92,0.561,pop,0.104,0.242,Teddy Swims,3.0,0.0337,89,I've Tried Everything But Therapy (Part 1),Today's Top Hits,Lose Control,2023-09-15,1.9e-05,1.0,9.0,210689.0,mainstream,audio_features,1
