danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.521,0.592,0.0304,0.0,0.122,0.535,157.969,4.194466666666667,2024.0,6.0,0.0,3.0,pop,100,1
0.747,0.507,0.0358,0.0608,0.117,0.438,104.978,3.5062166666666665,2024.0,2.0,1.0,4.0,pop,97,1
0.554,0.808,0.0368,0.0,0.159,0.372,108.548,2.7716666666666665,2024.0,1.0,1.0,4.0,pop,93,1
0.67,0.91,0.0634,0.0,0.304,0.786,112.966,2.6213333333333333,2024.0,0.0,0.0,4.0,pop,81,1
0.777,0.783,0.26,0.0,0.355,0.939,149.027,2.83195,2024.0,0.0,0.0,4.0,pop,98,1
0.7,0.582,0.0356,0.0,0.0881,0.785,116.712,3.6404,2024.0,11.0,0.0,4.0,pop,94,1
0.669,0.561,0.0411,0.00962,0.0954,0.841,150.069,2.8283,2024.0,10.0,1.0,4.0,pop,88,1
0.467,0.247,0.0431,0.000271,0.17,0.126,148.101,4.357783333333333,2024.0,6.0,0.0,4.0,pop,93,1
0.492,0.416,0.0254,8.61e-05,0.203,0.297,94.926,3.532983333333333,2024.0,11.0,1.0,4.0,pop,71,1
0.769,0.722,0.0507,2.56e-06,0.111,0.57,119.973,4.266666666666667,2024.0,11.0,0.0,4.0,pop,92,1
0.776,0.667,0.0983,0.3,0.0761,0.618,130.019,2.4203166666666664,2024.0,7.0,1.0,4.0,pop,85,1
0.669,0.586,0.054,0.0,0.104,0.579,107.071,3.1060833333333333,2024.0,9.0,1.0,4.0,pop,88,1
0.608,0.806,0.0486,0.0,0.191,0.587,104.032,3.03035,2024.0,1.0,1.0,4.0,pop,79,1
0.722,0.709,0.0273,0.0,0.0804,0.604,81.012,2.8548666666666667,2024.0,9.0,1.0,4.0,pop,86,1
0.742,0.757,0.0421,0.0,0.305,0.957,139.982,3.0806833333333334,2023.0,6.0,1.0,4.0,pop,88,1
0.562,0.917,0.117,0.0,0.488,0.501,100.987,3.833283333333333,2024.0,11.0,0.0,4.0,pop,86,1
0.734,0.787,0.116,0.0,0.312,0.672,109.939,2.59595,2024.0,5.0,0.0,4.0,pop,82,1
0.619,0.843,0.0284,0.000118,0.164,0.746,122.064,3.4138166666666665,2024.0,5.0,0.0,4.0,pop,86,1
0.53,0.406,0.033,0.0,0.133,0.338,115.94,2.6191166666666668,2024.0,10.0,1.0,3.0,pop,90,1
0.727,0.782,0.042,0.336,0.225,0.655,119.992,2.959983333333333,2024.0,8.0,0.0,4.0,pop,86,1
0.505,0.812,0.461,0.0,0.444,0.664,80.09,4.265266666666666,2024.0,1.0,1.0,4.0,pop,88,1
0.701,0.76,0.0285,6.54e-05,0.185,0.69,103.969,2.9243166666666665,2024.0,0.0,1.0,4.0,pop,90,1
0.894,0.725,0.0432,1.15e-05,0.0815,0.838,116.988,2.2771166666666667,2024.0,10.0,0.0,4.0,pop,89,1
0.833,0.563,0.204,1.27e-05,0.139,0.343,105.008,3.047616666666667,2024.0,4.0,0.0,4.0,pop,82,1
0.757,0.628,0.101,0.0209,0.221,0.321,119.98,3.6222166666666666,2024.0,4.0,0.0,4.0,pop,85,1
0.638,0.855,0.0264,0.0,0.245,0.731,127.986,2.9701,2024.0,7.0,1.0,4.0,pop,84,1
0.741,0.62,0.0412,0.000809,0.0398,0.934,117.038,4.1904,2024.0,10.0,1.0,4.0,pop,77,1
0.705,0.339,0.0278,0.0814,0.12,0.457,97.989,3.94845,2024.0,7.0,1.0,4.0,pop,84,1
0.694,0.651,0.0784,1.36e-05,0.0787,0.471,112.648,3.764683333333333,2024.0,6.0,1.0,3.0,pop,93,1
0.635,0.601,0.0295,0.0,0.11,0.332,123.994,2.87555,2024.0,1.0,0.0,4.0,pop,88,1
0.836,0.691,0.363,0.0,0.282,0.703,167.029,2.491016666666667,2024.0,1.0,1.0,4.0,pop,70,1
0.645,0.646,0.0427,3.04e-05,0.074,0.295,115.842,3.81065,2024.0,5.0,1.0,4.0,pop,81,1
0.472,0.471,0.0603,0.0,0.14,0.219,105.029,3.0050666666666666,2024.0,10.0,1.0,3.0,pop,85,1
0.744,0.709,0.284,0.0,0.0847,0.712,194.055,2.1813333333333333,2024.0,6.0,0.0,4.0,pop,84,1
0.739,0.904,0.0442,1.03e-05,0.0948,0.788,167.033,2.1647166666666666,2024.0,5.0,0.0,4.0,pop,85,1
0.561,0.604,0.0337,1.9e-05,0.104,0.242,159.92,3.5114833333333335,2023.0,9.0,1.0,3.0,pop,89,1
0.646,0.668,0.0282,0.0,0.212,0.64,90.969,2.471966666666667,2024.0,2.0,1.0,4.0,pop,82,1
0.924,0.668,0.0469,0.000594,0.0678,0.787,128.027,3.263733333333333,2024.0,11.0,1.0,4.0,pop,93,1
0.689,0.454,0.0584,0.00259,0.0707,0.912,159.982,2.6541,2022.0,2.0,1.0,4.0,pop,89,1
0.504,0.386,0.0308,1.53e-05,0.0961,0.281,192.004,3.8160833333333333,2024.0,11.0,1.0,4.0,pop,84,1
0.56,0.681,0.244,0.0,0.106,0.388,155.079,3.722,2024.0,6.0,0.0,4.0,pop,89,1
0.898,0.472,0.0776,0.0,0.141,0.214,101.061,4.569866666666667,2024.0,1.0,1.0,4.0,pop,88,1
0.487,0.711,0.0322,0.0,0.152,0.317,146.921,2.52745,2024.0,8.0,1.0,4.0,pop,85,1
0.848,0.712,0.0981,0.0,0.106,0.692,91.98,4.96885,2024.0,1.0,0.0,4.0,pop,84,1
